353.0,323.0
352.0,324.0
351.0,325.0
350.0,325.0
350.0,326.0
349.0,326.0
347.0,328.0
344.0,329.0
343.0,330.0
342.0,330.0
341.0,330.0
340.0,330.0
339.0,330.0
338.0,329.0
337.0,328.0
336.0,326.0
335.0,322.0
335.0,318.0
335.0,312.0
336.0,311.0
338.0,306.0
341.0,303.0
343.0,299.0
345.0,298.0
347.0,297.0
349.0,298.0
353.0,301.0
359.0,307.0
361.0,310.0
363.0,314.0
367.0,322.0
371.0,332.0
373.0,339.0
373.0,345.0
373.0,351.0
373.0,353.0
373.0,353.0
372.0,354.0
370.0,354.0
365.0,355.0
359.0,355.0
355.0,356.0
352.0,356.0
348.0,355.0
344.0,354.0
341.0,354.0
337.0,351.0
334.0,350.0
331.0,348.0
330.0,347.0
329.0,346.0
325.0,339.0
322.0,333.0
321.0,329.0
320.0,322.0
319.0,317.0
318.0,311.0
318.0,303.0
318.0,290.0
318.0,286.0
320.0,281.0
323.0,277.0
327.0,273.0
334.0,269.0
336.0,269.0
339.0,269.0
341.0,270.0
346.0,273.0
350.0,277.0
352.0,279.0
354.0,284.0
359.0,291.0
361.0,295.0
362.0,296.0
362.0,298.0
364.0,303.0
367.0,309.0
370.0,313.0
371.0,317.0
371.0,318.0
372.0,320.0
373.0,323.0
375.0,330.0
379.0,338.0
380.0,342.0
381.0,346.0
382.0,350.0
383.0,353.0
384.0,355.0
386.0,361.0
387.0,365.0
387.0,369.0
386.0,373.0
385.0,375.0
381.0,380.0
375.0,383.0
369.0,386.0
365.0,386.0
362.0,387.0
358.0,387.0
355.0,387.0
350.0,385.0
342.0,380.0
339.0,378.0
333.0,374.0
324.0,366.0
316.0,360.0
312.0,356.0
312.0,355.0
310.0,351.0
307.0,344.0
303.0,332.0
302.0,326.0
301.0,311.0
299.0,301.0
297.0,291.0
297.0,284.0
297.0,280.0
298.0,273.0
301.0,264.0
304.0,255.0
310.0,247.0
313.0,244.0
324.0,238.0
334.0,234.0
340.0,235.0
346.0,238.0
350.0,241.0
357.0,247.0
365.0,255.0
366.0,258.0
366.0,260.0
366.0,264.0
